,area_type,availability,location,society,total_sqft,bath,balcony,price,bedroom
6776,Plot  Area,Ready To Move,Whitefield,Prrry M,2403.0,4.0,2.0,270.0,4
6777,Super built-up  Area,20-Dec,Old Madras Road,Shmes O,1350.0,3.0,2.0,47.25,3
6782,Super built-up  Area,Ready To Move,other,Vaaldak,1713.0,3.0,3.0,125.0,3
6783,Built-up  Area,Ready To Move,other,Arnts A,1200.0,2.0,0.0,43.0,2
6786,Super built-up  Area,19-Dec,Binny Pete,She 2rk,1795.0,3.0,2.0,139.0,3
6787,Built-up  Area,Ready To Move,Kereguddadahalli,Inave R,600.0,1.0,1.0,19.5,1
6789,Super built-up  Area,Ready To Move,Hegde Nagar,SoitaCa,1965.0,4.0,2.0,132.0,3
6792,Super built-up  Area,19-Dec,Electronics City Phase 1,Shitt S,1200.0,2.0,2.0,59.76,2
6796,Super built-up  Area,Ready To Move,Jigani,DLhtsan,914.0,2.0,2.0,55.0,2
6802,Super built-up  Area,20-Sep,Whitefield,Goted U,1485.0,2.0,1.0,96.51,2
6803,Super built-up  Area,Ready To Move,Kanakapura,SPavenc,1460.0,2.0,3.0,43.79,3
6804,Super built-up  Area,Ready To Move,Thanisandra,TNrdet ,1450.0,2.0,1.0,57.0,2
6805,Built-up  Area,Ready To Move,HSR Layout,B ncysi,1360.0,2.0,1.0,53.0,3
6807,Super built-up  Area,Ready To Move,Uttarahalli,Aklia R,1125.0,2.0,1.0,48.0,2
6809,Super built-up  Area,Ready To Move,7th Phase JP Nagar,Brnia G,1460.0,2.0,2.0,100.0,3
6810,Built-up  Area,Ready To Move,other,Makeser,1107.0,2.0,2.0,40.0,2
6814,Super built-up  Area,Ready To Move,Bhoganhalli,Pride S,1760.0,3.0,2.0,128.0,3
6821,Super built-up  Area,Ready To Move,other,PancyPr,1600.0,3.0,2.0,112.0,3
6823,Super built-up  Area,Ready To Move,Whitefield,Gotis A,1755.0,3.0,3.0,101.0,3
6824,Super built-up  Area,Ready To Move,Hulimavu,Chtali ,1200.0,2.0,1.0,50.0,2
6826,Super built-up  Area,Ready To Move,other,GrhtiSr,1266.67,2.0,0.0,69.0,2
6831,Plot  Area,Ready To Move,Whitefield,Pronege,4800.0,5.0,2.0,550.0,4
6832,Super built-up  Area,18-May,Mysore Road,Brama P,1029.5,2.0,0.0,50.855,2
6833,Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,GrrvaGr,1128.0,2.0,2.0,40.0,2
6836,Super built-up  Area,18-Jul,other,RRnumn ,2710.0,6.0,2.0,142.0,4
6837,Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,GrrvaGr,1151.0,2.0,2.0,39.0,2
6840,Super built-up  Area,Ready To Move,Electronic City,SriewGr,1017.0,2.0,2.0,27.0,2
6841,Built-up  Area,Ready To Move,Sarjapur  Road,Srncy R,920.0,2.0,1.0,40.0,2
6844,Super built-up  Area,Ready To Move,Munnekollal,DSalehn,1750.0,3.0,3.0,86.5,3
6845,Built-up  Area,Ready To Move,Dasanapura,Tavenew,1163.0,2.0,1.0,65.0,2
6846,Super built-up  Area,Ready To Move,7th Phase JP Nagar,Brnia G,1650.0,3.0,3.0,110.0,3
6847,Super built-up  Area,Ready To Move,other,Goourta,1800.0,3.0,3.0,95.0,3
6848,Super built-up  Area,Ready To Move,CV Raman Nagar,RatraNa,1100.0,2.0,1.0,58.0,2
6850,Super built-up  Area,Ready To Move,other,PSdenGa,1410.0,3.0,2.0,65.0,3
6852,Super built-up  Area,Ready To Move,Begur Road,Dhalsh ,1200.0,2.0,2.0,45.6,2
6853,Super built-up  Area,Ready To Move,Whitefield,BMttaor,1608.0,2.0,3.0,63.0,3
6857,Super built-up  Area,Ready To Move,Kasavanhalli,Srire S,770.0,1.0,1.0,43.82,1
6858,Super built-up  Area,Ready To Move,Ardendale,SoystAm,1777.26,3.0,2.0,105.0,3
6859,Super built-up  Area,Ready To Move,Kanakpura Road,PuandHi,1339.0,2.0,2.0,85.0,2
6861,Built-up  Area,Ready To Move,other,Mawerer,1080.0,2.0,2.0,44.8,2
6864,Built-up  Area,Ready To Move,Hulimavu,Srise P,1450.0,3.0,3.0,72.0,3
6866,Super built-up  Area,Ready To Move,Sarjapur  Road,MJinele,1163.0,2.0,2.0,62.0,3
6870,Built-up  Area,Ready To Move,Hebbal,Prersis,1299.0,2.0,1.0,100.0,2
6874,Super built-up  Area,Ready To Move,Yelahanka,NCs 2rj,2600.0,4.0,3.0,175.0,4
6875,Super built-up  Area,Ready To Move,KR Puram,LVniaar,1140.0,2.0,1.0,43.32,2
6876,Super built-up  Area,Ready To Move,Kanakpura Road,Goelsn ,1900.0,3.0,3.0,125.0,3
6878,Super built-up  Area,Ready To Move,Electronic City,YCnce R,1110.0,2.0,1.0,39.95,2
6879,Super built-up  Area,18-Jan,Nagavarapalya,PuonsSe,705.0,1.0,1.0,57.0,1
6880,Super built-up  Area,Ready To Move,other,Visom B,1089.0,2.0,1.0,60.0,2
6882,Built-up  Area,Ready To Move,Kereguddadahalli,Jaood G,1080.0,2.0,2.0,32.0,2
6883,Super built-up  Area,18-Feb,Thanisandra,Bhmesy ,1093.0,2.0,1.0,68.1,2
6885,Super built-up  Area,Ready To Move,Hegde Nagar,Soiniy ,1703.0,3.0,2.0,125.0,3
6886,Super built-up  Area,Ready To Move,Hebbal,Srntsha,1200.0,2.0,1.0,60.0,2
6887,Super built-up  Area,Ready To Move,Marathahalli,Asintas,1690.0,3.0,2.0,116.0,3
6888,Super built-up  Area,Ready To Move,Yelahanka,Shana S,1305.0,2.0,1.0,78.0,2
6891,Super built-up  Area,Ready To Move,other,Pantsce,1194.0,2.0,0.0,55.0,2
6897,Super built-up  Area,Ready To Move,Whitefield,UKe 2nz,2225.0,3.0,1.0,149.0,3
6898,Super built-up  Area,Ready To Move,other,Oce 1nd,1022.0,2.0,2.0,57.0,2
6900,Built-up  Area,Ready To Move,other,Shsom B,1153.0,2.0,2.0,45.0,2
6902,Built-up  Area,Ready To Move,other,Suent A,1560.0,3.0,3.0,68.0,3
6905,Super built-up  Area,Ready To Move,Billekahalli,BancyRe,1350.0,3.0,2.0,55.0,2
6908,Super built-up  Area,Ready To Move,Chandapura,Arhid O,800.0,2.0,1.0,25.0,2
6909,Super built-up  Area,20-Dec,Electronic City,KonteiT,2093.0,4.0,1.0,104.0,4
6911,Super built-up  Area,Ready To Move,Bannerghatta Road,SNity S,1275.0,2.0,1.0,73.0,2
6912,Super built-up  Area,Ready To Move,Begur Road,Dhalsh ,1215.0,2.0,2.0,43.13,2
6914,Super built-up  Area,Ready To Move,Begur Road,MJilayl,1444.0,2.0,2.0,71.5,3
6915,Super built-up  Area,Ready To Move,other,Ranorar,950.0,2.0,2.0,38.0,2
6919,Super built-up  Area,Ready To Move,Hennur,Adity T,1231.0,2.0,2.0,50.0,2
6921,Super built-up  Area,18-Aug,Yeshwanthpur,Aroomba,1713.0,3.0,2.0,110.0,3
6924,Built-up  Area,Ready To Move,Sonnenahalli,DSgam S,1310.0,2.0,0.0,46.0,3
6925,Super built-up  Area,Ready To Move,Jalahalli,Kuownri,790.0,2.0,1.0,49.5,2
6926,Super built-up  Area,Ready To Move,Koramangala,Proodt ,1744.0,3.0,1.0,200.0,3
6928,Super built-up  Area,Ready To Move,Whitefield,Gotis A,1250.0,2.0,2.0,82.0,2
6929,Super built-up  Area,Ready To Move,Malleshwaram,Sariaat,2476.0,3.0,3.0,337.0,3
6930,Built-up  Area,Ready To Move,Subramanyapura,Mayne A,1260.0,2.0,2.0,76.0,3
6931,Super built-up  Area,18-Aug,Rajaji Nagar,ProdsWe,1615.0,3.0,1.0,175.0,3
6934,Super built-up  Area,Ready To Move,Electronic City,GMown E,1025.0,2.0,1.0,53.9,2
6935,Super built-up  Area,Ready To Move,Sarjapur  Road,Puallhi,1877.0,4.0,2.0,150.0,3
6936,Built-up  Area,Ready To Move,Lakshminarayana Pura,RothaVa,1649.0,3.0,2.0,150.0,3
6940,Super built-up  Area,Ready To Move,Thigalarapalya,Prtanha,1418.0,2.0,2.0,105.0,2
6941,Built-up  Area,Ready To Move,other,BhncyRe,1012.0,2.0,0.0,42.0,2
6944,Super built-up  Area,Ready To Move,Green Glen Layout,VVbhion,1680.0,4.0,3.0,95.0,3
6945,Super built-up  Area,Ready To Move,Old Madras Road,Saesttt,1171.0,2.0,2.0,72.0,2
6946,Super built-up  Area,Ready To Move,Tumkur Road,Sahtsva,1027.0,2.0,1.0,68.62,2
6948,Super built-up  Area,Ready To Move,Kanakapura,SPavenc,1090.0,2.0,2.0,38.15,2
6949,Super built-up  Area,18-Jan,Hennur Road,Puachal,1232.0,2.0,1.0,74.0,2
6952,Super built-up  Area,21-Dec,Kanakpura Road,PrarePa,525.0,1.0,1.0,27.0,1
6955,Super built-up  Area,Ready To Move,Choodasandra,Aharlve,1254.0,2.0,1.0,65.0,3
6957,Super built-up  Area,19-Jul,Kanakpura Road,Soazak ,1593.0,3.0,1.0,118.0,3
6958,Super built-up  Area,Ready To Move,other,Soarkge,1333.0,2.0,2.0,77.27,2
6960,Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,Lancyey,1375.0,2.0,1.0,54.99,3
6961,Super built-up  Area,Ready To Move,Ardendale,Mahtsba,1650.0,3.0,3.0,82.0,3
6962,Super built-up  Area,Ready To Move,Thanisandra,MenueNo,1430.0,2.0,2.0,51.48,3
6963,Built-up  Area,Ready To Move,Electronic City,Pao 3ow,940.0,2.0,1.0,54.0,2
6964,Super built-up  Area,Ready To Move,Electronic City,GMown E,435.0,1.0,1.0,21.0,1
6965,Super built-up  Area,Ready To Move,Begur Road,Dhalsh ,1160.0,2.0,2.0,36.54,2
6966,Super built-up  Area,18-Mar,Electronic City,GMown E,1500.0,2.0,1.0,77.5,3
6967,Super built-up  Area,Ready To Move,Koramangala,KHage G,1890.0,2.0,1.0,100.0,3
6972,Plot  Area,Ready To Move,Seegehalli,Stndeil,3000.0,4.0,2.0,235.0,3
6973,Super built-up  Area,Ready To Move,Tumkur Road,Soubya ,1459.0,2.0,1.0,95.0,3
6974,Super built-up  Area,21-Mar,Yelahanka,Goues A,1711.0,3.0,3.0,85.61,3
6975,Super built-up  Area,22-Jun,Hoodi,GoAirej,1250.0,2.0,2.0,98.0,2
6976,Super built-up  Area,18-Sep,Chandapura,SunceEs,645.0,1.0,1.0,16.45,1
6982,Super built-up  Area,18-Aug,Rajaji Nagar,ProdsWe,1776.0,3.0,1.0,190.0,3
6983,Super built-up  Area,Ready To Move,Thigalarapalya,Prtanha,2072.0,4.0,2.0,160.0,3
6984,Plot  Area,Ready To Move,Kundalahalli,Roima A,1600.0,3.0,2.0,170.0,3
6986,Super built-up  Area,Ready To Move,Kengeri Satellite Town,Malowr ,920.0,2.0,3.0,39.0,2
6987,Super built-up  Area,19-Feb,Chandapura,PavesGr,778.0,2.0,0.0,25.29,2
6989,Super built-up  Area,Ready To Move,Electronic City,Goty  E,1631.0,3.0,2.0,80.0,3
6990,Super built-up  Area,21-Dec,Kanakpura Road,PrarePa,525.0,1.0,1.0,27.5,1
6991,Built-up  Area,Ready To Move,Jalahalli,Reodsnc,1395.0,3.0,3.0,82.0,3
6992,Super built-up  Area,Ready To Move,other,Krtonwe,2000.0,3.0,2.0,105.0,3
6993,Super built-up  Area,18-Jul,Hennur Road,Puachal,1232.0,2.0,1.0,66.0,2
6995,Super built-up  Area,Ready To Move,Gubbalala,MauilTr,1205.0,2.0,2.0,70.0,2
6997,Super built-up  Area,Ready To Move,Rajiv Nagar,PuoodSk,2340.0,5.0,1.0,129.0,4
6998,Super built-up  Area,Ready To Move,other,Amlisai,1179.0,2.0,1.0,55.0,3
6999,Super built-up  Area,Ready To Move,other,Shyas S,1013.0,2.0,1.0,51.0,2
7000,Super built-up  Area,Ready To Move,Uttarahalli,SLnssPr,1160.0,2.0,2.0,40.6,2
7002,Super built-up  Area,Ready To Move,7th Phase JP Nagar,Hiestre,1200.0,2.0,2.0,62.5,2
7006,Built-up  Area,Ready To Move,other,SPontna,1069.0,2.0,1.0,55.0,2
7007,Plot  Area,Ready To Move,other,Ceonyy ,1200.0,3.0,2.0,99.0,3
7009,Super built-up  Area,Ready To Move,Marathahalli,Inden O,1065.0,2.0,2.0,55.0,2
7010,Built-up  Area,Ready To Move,Lakshminarayana Pura,BVeneSe,1395.0,2.0,0.0,75.0,2
7011,Built-up  Area,Ready To Move,Hebbal Kempapura,Goateds,1725.0,2.0,1.0,165.0,3
7012,Built-up  Area,Ready To Move,other,Naenti ,1007.0,2.0,2.0,43.0,2
7015,Super built-up  Area,19-Jun,Hebbal,Raard B,1645.0,3.0,2.0,117.0,3
7017,Super built-up  Area,19-Apr,Mysore Road,Brama P,940.0,2.0,1.0,43.61,2
7019,Super built-up  Area,20-Dec,Hebbal,Cehosy ,2850.0,5.0,3.0,343.0,3
7028,Super built-up  Area,Ready To Move,other,Jahipa ,675.0,1.0,1.0,15.0,2
7029,Super built-up  Area,Ready To Move,Hebbal,Chtert ,1390.0,2.0,2.0,95.0,2
7030,Super built-up  Area,Ready To Move,Lakshminarayana Pura,RothaVa,1500.0,3.0,2.0,104.0,3
7031,Super built-up  Area,21-Jun,Vijayanagar,Saityat,2047.0,3.0,2.0,136.0,3
7032,Super built-up  Area,Ready To Move,Jakkur,HRaniIb,1202.0,2.0,1.0,79.0,2
7033,Super built-up  Area,Ready To Move,other,Seityen,1012.0,2.0,1.0,59.0,2
7034,Super built-up  Area,Ready To Move,Gunjur,Paestol,2132.0,3.0,3.0,80.0,3
7037,Super built-up  Area,Ready To Move,Harlur,Prncyrn,1331.0,2.0,1.0,88.0,2
7041,Built-up  Area,Ready To Move,other,Bebalrk,1800.0,2.0,0.0,300.0,2
7043,Super built-up  Area,Ready To Move,other,Rainet ,1280.0,2.0,2.0,49.0,3
7044,Super built-up  Area,Ready To Move,Balagere,Soresea,1007.0,2.0,1.0,62.0,2
7045,Super built-up  Area,18-May,Thanisandra,SLityee,1370.0,2.0,1.0,61.0,3
7046,Super built-up  Area,Ready To Move,other,Sothin ,925.0,2.0,2.0,35.0,2
7048,Built-up  Area,Ready To Move,Attibele,Jae 1hu,450.0,1.0,1.0,12.5,1
7050,Super built-up  Area,19-Mar,Hennur Road,Puachal,1341.0,2.0,1.0,95.0,2
7052,Super built-up  Area,Ready To Move,Tumkur Road,Sahtsva,992.0,2.0,1.0,60.0,2
7053,Super built-up  Area,Ready To Move,Uttarahalli,RaontWa,1163.0,2.0,2.0,68.0,2
7054,Super built-up  Area,Ready To Move,Sarjapur  Road,Ceiti I,1229.0,2.0,2.0,70.0,2
7056,Super built-up  Area,Ready To Move,Electronic City Phase II,Coomee ,1219.0,2.0,1.0,61.26,2
7057,Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,GRvanun,1525.0,2.0,2.0,99.13,3
7058,Super built-up  Area,20-Jun,Kasavanhalli,Esareap,1147.0,2.0,1.0,60.0,2
7059,Super built-up  Area,Ready To Move,Akshaya Nagar,DLhtsnd,1412.0,2.0,3.0,88.0,3
7062,Super built-up  Area,Ready To Move,Nagarbhavi,KohraNa,1190.0,2.0,2.0,63.0,2
7064,Super built-up  Area,Ready To Move,Jigani,DLhtsen,1352.0,3.0,1.0,65.0,3
7066,Super built-up  Area,Ready To Move,Uttarahalli,SLnssPr,1330.0,2.0,2.0,39.9,3
7068,Super built-up  Area,18-Apr,Electronic City,Prarkun,1355.0,2.0,1.0,67.0,2
7069,Super built-up  Area,18-Nov,Ramamurthy Nagar,Vaharvi,1200.0,2.0,1.0,46.0,2
7072,Super built-up  Area,Ready To Move,Begur Road,Dhalsh ,1615.0,3.0,2.0,50.87,3
7076,Super built-up  Area,Ready To Move,Devanahalli,Brrds O,1080.0,2.0,1.0,52.0,2
7078,Super built-up  Area,Ready To Move,Electronic City,Prtor N,1200.0,2.0,0.0,34.0,2
7081,Built-up  Area,Ready To Move,other,Pranai ,1605.0,3.0,2.0,65.0,3
7084,Super built-up  Area,Ready To Move,other,Bhide P,1200.0,2.0,2.0,80.0,2
7091,Super built-up  Area,18-Sep,Chandapura,SunceEs,1230.0,2.0,2.0,31.37,3
7096,Super built-up  Area,Ready To Move,other,CMhidal,946.0,2.0,2.0,45.0,2
7098,Super built-up  Area,18-May,Sarjapur  Road,PualeSk,1711.0,3.0,1.0,110.0,3
7100,Super built-up  Area,18-Aug,Chandapura,SuVue S,950.0,2.0,1.0,25.65,2
7101,Super built-up  Area,Ready To Move,Kudlu Gate,Brlms P,1656.0,3.0,2.0,80.0,3
7102,Super built-up  Area,Ready To Move,Uttarahalli,Ayaya A,1075.0,2.0,1.0,46.76,2
7107,Super built-up  Area,Ready To Move,other,Ciisera,665.0,1.0,2.0,32.0,1
7109,Super built-up  Area,18-Mar,Electronics City Phase 1,Shitt S,1145.0,2.0,1.0,54.0,2
7110,Super built-up  Area,18-Aug,Whitefield,SSdhimr,1185.0,2.0,2.0,41.0,2
7112,Built-up  Area,Ready To Move,Marathahalli,Duals P,1693.0,3.0,2.0,125.0,3
7113,Super built-up  Area,Ready To Move,other,Toiasle,2456.0,3.0,3.0,220.0,3
7114,Super built-up  Area,Ready To Move,Rajaji Nagar,PhestOn,2559.0,3.0,2.0,403.0,3
7115,Super built-up  Area,Ready To Move,Uttarahalli,SLnssPr,1155.0,2.0,1.0,40.6,2
7124,Super built-up  Area,Ready To Move,KR Puram,Thisea ,1200.0,2.0,1.0,42.0,2
7125,Super built-up  Area,Ready To Move,other,SGllaav,1439.0,3.0,1.0,57.23,3
7129,Built-up  Area,Ready To Move,Yelahanka,Velas V,1315.0,2.0,3.0,75.0,2
7132,Super built-up  Area,Ready To Move,Vijayanagar,Rancy R,1178.0,2.0,3.0,82.0,2
7134,Super built-up  Area,Ready To Move,Mahadevpura,Neisei ,1400.0,2.0,2.0,65.8,3
7135,Super built-up  Area,Ready To Move,Thanisandra,Bhmesy ,1093.0,2.0,2.0,72.0,2
7136,Super built-up  Area,Ready To Move,other,Bhave E,1200.0,2.0,1.0,45.0,2
7138,Built-up  Area,15-Dec,other,Bhsic C,1200.0,2.0,0.0,130.0,3
7140,Super built-up  Area,Ready To Move,Uttarahalli,Revane ,1150.0,2.0,2.0,70.0,2
7143,Super built-up  Area,20-Dec,Whitefield,Oreldhi,1173.0,2.0,1.0,78.2,2
7144,Super built-up  Area,Ready To Move,Thanisandra,SLaceda,1140.0,2.0,1.0,39.0,2
7145,Super built-up  Area,Ready To Move,other,Reicace,1717.0,3.0,3.0,120.0,3
7147,Built-up  Area,Ready To Move,Hoodi,Macanr ,1370.0,3.0,2.0,67.0,3
7148,Super built-up  Area,21-Aug,Electronics City Phase 1,GMownTe,1025.0,2.0,1.0,90.0,2
7150,Super built-up  Area,Ready To Move,Bellandur,SRageri,1200.0,2.0,1.0,52.0,2
7151,Super built-up  Area,Ready To Move,Thanisandra,NRtesnd,1200.0,2.0,1.0,53.5,2
7152,Super built-up  Area,18-Feb,Whitefield,BrlisCo,1740.0,4.0,3.0,130.0,3
7153,Super built-up  Area,19-Mar,Hennur Road,Puachal,1232.0,2.0,1.0,88.0,2
7155,Super built-up  Area,Ready To Move,Whitefield,Toindls,5924.0,4.0,3.0,625.0,4
7156,Super built-up  Area,Ready To Move,other,Shnto F,1250.0,2.0,1.0,50.0,2
7157,Built-up  Area,Ready To Move,other,SNiew L,1475.0,2.0,2.0,171.0,2
7158,Super built-up  Area,Ready To Move,Bommanahalli,Alarke ,2100.0,4.0,2.0,85.0,4
7164,Super built-up  Area,Ready To Move,Padmanabhanagar,Gancy P,1067.0,2.0,2.0,52.0,2
7165,Super built-up  Area,Ready To Move,Sarjapur,Sondaka,1364.0,2.0,2.0,56.0,3
7170,Super built-up  Area,Ready To Move,other,NChtsun,1504.0,2.0,2.0,102.0,3
7172,Super built-up  Area,Ready To Move,Hennur Road,Samittv,2365.0,4.0,2.0,175.0,3
7177,Super built-up  Area,Ready To Move,Hebbal,Prersis,1333.0,2.0,1.0,100.0,2
7180,Super built-up  Area,Ready To Move,Thanisandra,Soitya ,1698.0,3.0,2.0,107.0,3
7182,Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,Avlls H,1060.0,2.0,1.0,48.0,2
7187,Super built-up  Area,Ready To Move,Hennur Road,Mileeou,1310.0,2.0,1.0,66.0,2
7191,Super built-up  Area,Ready To Move,Marathahalli,Duals P,1693.0,3.0,1.0,125.0,3
7192,Super built-up  Area,Ready To Move,Jigani,DLhtsen,1230.0,3.0,3.0,60.0,3
7193,Plot  Area,18-Jan,Devanahalli,Ozdiaan,1200.0,3.0,1.0,145.0,3
7196,Super built-up  Area,18-Apr,Munnekollal,Sadhii ,1385.0,2.0,2.0,66.5,3
7197,Super built-up  Area,Ready To Move,Tumkur Road,Redarav,1066.0,2.0,2.0,52.5,2
7198,Super built-up  Area,19-Dec,Thanisandra,DSity S,2293.0,3.0,2.0,80.26,3
7205,Super built-up  Area,Ready To Move,7th Phase JP Nagar,Axdam V,1000.0,2.0,1.0,70.65,2
7206,Super built-up  Area,Ready To Move,Nagavarapalya,MYncysi,907.0,2.0,2.0,38.0,2
7208,Super built-up  Area,Ready To Move,Varthur,Vaensia,1395.0,2.0,3.0,79.0,3
7209,Super built-up  Area,Ready To Move,other,Shont F,1180.0,2.0,2.0,50.0,2
7213,Super built-up  Area,Ready To Move,other,MadorSp,1490.0,2.0,1.0,92.0,3
7214,Super built-up  Area,Ready To Move,Yeshwanthpur,IBityin,1144.0,2.0,2.0,67.0,2
7216,Super built-up  Area,Ready To Move,Hormavu,SLtraks,1143.0,2.0,1.0,53.0,2
7217,Plot  Area,Ready To Move,Karuna Nagar,CoinoCu,2500.0,3.0,2.0,190.0,3
7218,Super built-up  Area,18-Dec,Whitefield,Prtates,1216.0,2.0,1.0,75.0,2
7219,Super built-up  Area,17-Jun,other,Mauil T,1044.0,2.0,1.0,60.0,2
7220,Super built-up  Area,Ready To Move,other,Prlmsge,1352.0,3.0,1.0,93.0,2
7222,Built-up  Area,Ready To Move,Bellandur,Krala D,1785.0,3.0,2.0,120.0,3
7224,Super built-up  Area,18-May,other,Naiewre,1650.0,3.0,2.0,51.98,3
7226,Super built-up  Area,Ready To Move,Whitefield,Rabow R,1060.0,2.0,1.0,35.0,2
7228,Super built-up  Area,Ready To Move,Nagarbhavi,DSesthr,1523.0,2.0,2.0,56.0,3
7229,Super built-up  Area,19-Jan,Kanakpura Road,PrityFa,1591.0,3.0,1.0,122.0,3
7230,Super built-up  Area,Ready To Move,other,SJcerpe,1640.0,3.0,3.0,84.0,3
7231,Built-up  Area,Ready To Move,Yelahanka New Town,KHatsFl,450.0,1.0,0.0,16.0,1
7232,Super built-up  Area,Ready To Move,Bannerghatta Road,Amarere,1305.0,2.0,2.0,60.0,3
7234,Built-up  Area,Ready To Move,Kaggadasapura,Frowsru,1240.0,2.0,3.0,45.0,2
7237,Super built-up  Area,Ready To Move,Koramangala,K ncy R,1180.0,2.0,1.0,128.0,2
7239,Super built-up  Area,Ready To Move,Bisuvanahalli,Prityel,845.0,2.0,1.0,33.0,2
7241,Super built-up  Area,Ready To Move,Channasandra,Unm 2El,1310.0,2.0,2.0,45.0,3
7245,Super built-up  Area,Ready To Move,Kambipura,Prrtht ,883.0,2.0,1.0,37.0,2
7247,Super built-up  Area,21-Mar,Yelahanka,Goues A,1390.0,2.0,2.0,70.21,2
7249,Super built-up  Area,Ready To Move,Kenchenahalli,AriosPa,1280.0,2.0,2.0,69.0,3
7251,Super built-up  Area,Ready To Move,Yelahanka,PuziaVe,1614.0,3.0,2.0,95.0,3
7255,Super built-up  Area,19-Apr,Ambalipura,Sisice ,950.0,2.0,1.0,31.95,2
7257,Super built-up  Area,Ready To Move,other,Daganva,1141.0,2.0,1.0,55.0,2
7258,Super built-up  Area,Ready To Move,5th Phase JP Nagar,Saisena,1200.0,2.0,2.0,51.0,2
7260,Super built-up  Area,Ready To Move,Doddathoguru,Elayabh,855.0,2.0,1.0,32.0,2
7261,Super built-up  Area,18-Sep,Chandapura,SunceEs,645.0,1.0,1.0,16.45,1
7262,Super built-up  Area,Ready To Move,Chandapura,Siissi ,922.0,2.0,1.0,36.0,2
7264,Super built-up  Area,Ready To Move,other,Gaenty ,1240.0,2.0,2.0,65.0,3
7266,Super built-up  Area,Ready To Move,other,Almid P,1293.0,2.0,2.0,75.0,2
7268,Super built-up  Area,Ready To Move,Yelahanka New Town,Cerasy ,1599.0,3.0,2.0,80.0,3
7269,Super built-up  Area,Ready To Move,other,Veyalin,967.0,2.0,2.0,41.1,2
7270,Super built-up  Area,Ready To Move,other,SaMTBai,1885.0,3.0,3.0,90.0,3
7273,Super built-up  Area,Ready To Move,Sarjapur  Road,Ahriaup,1050.0,2.0,1.0,63.5,2
7274,Super built-up  Area,Ready To Move,Marathahalli,PuilaMi,1595.0,3.0,2.0,88.0,3
7275,Super built-up  Area,Ready To Move,Sarjapur  Road,Adeatlm,1350.0,2.0,2.0,102.0,2
7276,Built-up  Area,Ready To Move,Hebbal,Srntsha,1204.0,2.0,2.0,45.0,2
7278,Super built-up  Area,Ready To Move,Sarjapur  Road,Usquaya,1035.0,2.0,2.0,49.0,2
7280,Super built-up  Area,Ready To Move,Sarjapur  Road,CoLeoen,1457.0,3.0,3.0,85.0,3
7283,Super built-up  Area,18-Mar,Whitefield,Prtates,1655.0,3.0,3.0,120.0,3
7285,Super built-up  Area,18-Jun,Ramagondanahalli,ViistLa,1215.0,2.0,1.0,46.1,2
7286,Super built-up  Area,Ready To Move,Kanakpura Road,Wiowsri,1155.0,2.0,0.0,50.125,2
7287,Super built-up  Area,22-Jun,Hoodi,GoAirej,1639.0,3.0,2.0,129.0,3
7288,Super built-up  Area,18-Apr,Sarjapur  Road,PualeSk,1685.0,3.0,1.0,135.0,3
7290,Super built-up  Area,Ready To Move,Hormavu,Jhntspa,1100.0,2.0,3.0,38.0,2
7291,Super built-up  Area,19-Sep,Marathahalli,Vaeva E,2122.0,3.0,2.0,125.0,3
7293,Built-up  Area,Ready To Move,Kengeri,Sravema,1230.0,2.0,2.0,45.0,2
7295,Built-up  Area,16-Oct,Electronic City Phase II,Brods W,1252.0,2.0,3.0,65.0,3
7297,Super built-up  Area,18-Jul,8th Phase JP Nagar,Maian M,500.0,1.0,1.0,30.0,1
7299,Super built-up  Area,18-Dec,Hebbal,Magiaya,1355.0,3.0,2.0,83.87,3
7301,Super built-up  Area,Ready To Move,Sarjapur  Road,Contsci,1350.0,2.0,2.0,68.0,2
7302,Super built-up  Area,18-Apr,Whitefield,Prtates,4003.0,6.0,3.0,300.0,4
7304,Super built-up  Area,Ready To Move,Haralur Road,Grterrr,1560.0,3.0,1.0,90.0,3
7305,Super built-up  Area,17-Jul,Anandapura,ViensRK,1151.0,2.0,1.0,43.16,2
7307,Super built-up  Area,Ready To Move,other,ARntyne,1250.0,2.0,2.0,60.0,2
7308,Super built-up  Area,19-Dec,Chandapura,SuVue S,1110.0,2.0,2.0,29.97,3
7309,Built-up  Area,Ready To Move,Hennur Road,Baesta ,1015.0,2.0,2.0,50.0,2
7310,Super built-up  Area,Ready To Move,Kadugodi,Trade E,1351.0,2.0,2.0,78.0,3
7311,Super built-up  Area,Ready To Move,Yelahanka New Town,KHatsFl,960.0,2.0,2.0,50.0,2
7313,Built-up  Area,Ready To Move,other,GModsNR,1680.0,3.0,2.0,72.0,3
7314,Plot  Area,Ready To Move,other,Vetanan,2400.0,3.0,1.0,180.0,3
7315,Plot  Area,18-Apr,other,Epllan ,11000.0,5.0,3.0,2000.0,4
7316,Built-up  Area,18-Mar,other,SaaceSa,1350.0,3.0,2.0,48.6,3
7317,Super built-up  Area,Ready To Move,other,Asorai ,1254.0,2.0,2.0,47.0,2
